survey,date,codes,familiartiy,used,pos1,pos2,pos3,pos4,pos5,pos_yrs,pos_num,org_affil,target,non_target,incentives_q,comm,prog_help,pos_other,incentive_other,Difficult to measure progress,Hard to implement across diverse stakeholders,Limited relevance,Missing cross-program comparisons,Insufficient data,Lack of near real-time information,Bycatch predictability,Cost,Lack of political administration permanence,Confidentiality concerns,Lack of incentives,Volunteer programs reduce participation,Regulated programs reduce participation,External pressures reducing participation,Poor communication and outreach,Misalignment among stakeholders,Negative perception of stakeholder group,Behavior change,Regulated program,Volunteer based program,Simplicity,Supplement traditional management,Online presence,Tailored to user group,Goal to reduce negative species interactions,Established communication channels,Minimized externalities,Confidentiality,Fleet buy-in,Pre-existing program,Effective communication,Adoption incentives,Observable progress,Program outreach and transparency,Stakeholder collaboration,Data transparency,Rapid data delivery,Known nautral history,Species spatial separation,Predictable spatial use,Migratory species
Yellowtail surveys,10/31/2023 9:26,18,10,Yes,Fishery scientist,NA,NA,NA,NA,18 years,18,New England fisheries,Groundfish,groundfish stocks with low allocations,selected all options,Short emails (Boatracs),Yes - vessels avoided hotspots and caps were not exceeded,NA,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
Yellowtail surveys,10/31/2023 10:19,15,10,Yes,Fishery scientist,NA,NA,NA,NA,19,19,"groundfish, monkfish, black sea bass","monkfish, black sea bass, flounder, haddock, pollock","sturgeon, mammals, skates, and many others",Incentives; multi-stakeholder collaboration,Depends on audience,Yes - had reports of fishermen avoiding bycatch 'hotspots',NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Yellowtail surveys,10/31/2023 10:27,16,10,Yes,Commercial fisherman,Vessel owner,Vessel captain,Fleet manager,NA,Involved in fishery for 45 years. Vessel owner for 36 years.  F,45,North Atlantic Scallop Fishery,Scallops,NA,Incentives; data transparency,Daily maps of hotspots w/ wkly averages,Yes - Flounder were concentrated & easy to avoid and catch scal,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0
Yellowtail surveys,10/31/2023 13:03,14,9,Yes,Fishery advisory board member,NA,NA,NA,NA,40,40,"scallop, clam, lobster, groundfish",scallops,"Skates, windowpane, monkfish",Incentives; multi-stakeholder collaboration,NA,No,NA,NA,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Shad surveys,11/3/2023 4:55,16,8,Yes,Fishery scientist,NA,NA,NA,NA,18,18,New England fisheries,groundfish,other groundfish,Incentives; pre-existing orgs.; multi stakeholder collaboration,Boatracs emails,Yes. Significant bycatch avoidance was tested.,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Yellowtail surveys,11/4/2023 3:14,16,NA,Yes,Commercial fisherman,Vessel owner,Vessel captain,Fleet manager,NA,40 years,40,Scallop,Scallops,"Yellow tail , sanddabs . Cod",Incentives; data transparency; multi-stakeholder collaboration,Info was provided,Yes - most boats avoided the hotspots,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Yellowtail surveys,11/5/2023 7:21,28,9,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected all options; other: real time data transmisson,"Daily maps, ad hoc emergency emails for hotspot detection","Yes - captains avoided hotspots, reduced YT take across fleet",NA,Real time data transmission,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,5,0,1,0,1
Yellowtail surveys,11/7/2023 7:07,18,9,Unsure,Commercial fisherman,Fishery manager,Fishery advisory board member,NA,NA,25 plus,25,Atlantic Sea Scallop mainly,Atlantic Sea Scallops,"Seasonally, Summer Flounder. Yellowtail flounder, depending on",Incentives; multi-stakeholder collaboration,Daily maps,Yes - reduced bycatch because of high captain participation,Member of Scallop Advisory Panel to New England Fishery Managem,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0
Shad surveys,11/9/2023 13:43,27,10,Yes,Fishery scientist,NA,NA,NA,NA,I've been in my current position for almost 4 years but was inv,4,NA,NA,NA,Incentives; multi-stakeholder collaboration,Maps on program website,Yes (see survey for additional details),NA,NA,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,0,2,0
Yellowtail surveys,1/8/2024 6:42,15,9,Yes,Commercial fisherman,Crew,Fleet manager,Fishery manager,Fishery advisory board member,30+,30,Sea Scallop mainly and Mid Atlantic Dogfish,Atlantic Sea Scallop,summer flounder on occasion and monkfish on occasion,Incentives; multi-stakeholder collaboration,Daily maps that are emailed,Yes (see survey for additional details),NEFMC Scallop Advisor        Board Member: Fisherman Survival F,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
Shad surveys,1/8/2024 13:03,28,10,Yes,Fishery scientist,NA,NA,NA,NA,15,15,Herring mid-water trawl and small-mesh bottom trawl fleet (coll,NA,"river herring/shad, haddock",Incentives; multi-stakeholder collaboration,geo-referenced maps sent to smartphones (NA during the program),"Most of the time, yes.",NA,NA,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,1,1,0,1,0,1,0,0
WhaleWatch surveys,4/1/2024 14:00,21,8,Yes,Vessel owner,Fishery manager,Fishery scientist,NA,NA,30,30,Container,NA,NA,"Multiple stakeholders (e.g., shipping line representatives, man",NA,"Yes, less ambient noise affecting whales and reduced chance of",NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0
WhaleWatch surveys,4/1/2024 22:42,26,8,Yes,Vessel owner,Fishery advisory board member,NA,NA,NA,12,12,Wallenius Wilhelmsen's fleet,NA,NA,"Multiple stakeholders (e.g., shipping line representatives, man",Electronic Chart Display and Information System,"I believe so, however I have no reason for that other than I tr",Member of Scallop Advisory Panel to New England Fishery Managem,Ref two input items above,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0
WhaleWatch surveys,4/4/2024 8:31,3,8,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch surveys,4/17/2024 13:18,3,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch TMMC surveys,4/22/2024 15:52,24,7,Unsure,Vessel owner,Vessel operator,NA,NA,NA,3,3,Decline to answer,,,Incentives are provided for groups following regulation guideli,,,NA,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,1,0,2,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0
WhaleWatch TMMC surveys,4/22/2024 16:32,14,6,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Incentives are provided for groups following regulation guideli,,,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
WhaleWatch TMMC surveys,4/23/2024 2:58,0,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch TMMC surveys,4/23/2024 13:49,0,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch surveys,4/23/2024 15:09,7,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Program is an enforced regulation.,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhaleWatch surveys,4/23/2024 15:16,23,8,Yes,Fishery scientist,Fishery manager,NA,NA,NA,2,2,NA,NA,NA,"Program is an enforced regulation.,Multiple stakeholders (e.g.,","Email, website, or API","Yes, although it is so hard to quantify since so many ship stri",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0
